text,label,text_clean
I love you,0,i love you
You are an idiot,1,you are an idiot
Have a nice day,0,have a nice day
I will kill you,1,i will kill you
This is awesome,0,this is awesome
You're worthless,1,you're worthless
You are stupid,1,you are stupid
That's amazing!,0,that's amazing!
I hate you,1,i hate you
Great job!,0,great job!
You're a moron,1,you're a moron
Wonderful news!,0,wonderful news!
I will hurt you,1,i will hurt you
Fantastic work,0,fantastic work
You're disgusting,1,you're disgusting
Excellent performance,0,excellent performance
You should die,1,you should die
Beautiful day today,0,beautiful day today
Nobody likes you,1,nobody likes you
Keep up the good work,0,keep up the good work
